name,website,facebook,street,city,county,state,zip
Lincoln City Farmers and Crafters Market,http://www.lincolncityfarmersmarket.org,https://www.facebook.com/lincolncityfarmersmarket,540 NE Hwy 101,Lincoln City,Lincoln,Oregon,97367
Lincoln County Fairgrounds Farmers Market,http://www.lcffarmersmarket.org,https://www.facebook.com/lcffarmersmarket,633 NE 3rd Street,Newport,Lincoln,Oregon,7365
Lincoln County Farm Bureau Farmers Market,,,,Hamlin,Lincoln,West Virginia,25523
Lincoln County Farmers Market,,,US Hwy 150 ,Stanford,Lincoln,Kentucky,40484
Lincoln County Farmers Market @ DSS,http://lincolncountyfarmersmarket.com,https://www.facebook.com/pages/Lincoln-County-Farmers-Market/105312274050,1136 East Main Street,Lincolnton,Lincoln,North Carolina,28092
Lincoln County Farmers Market in Downtown Lincolnton,http://www.lincolncountyfarmersmarket.com,https://www.facebook.com/pages/Lincoln-County-Farmers-Market/105312274050,225 West Water Street,Lincolnton ,Lincoln,North Carolina,28092
Lincoln County Producers' Markets,,,663 Main street,Pioche,Lincoln,Nevada,89043
Lincoln County Producers' Markets,,,360 Lincoln Street,Caliente,Lincoln,Nevada,89008
Lincoln Farmers' Market,,,5 Bagley Mountain Rd.,Lincoln,Penobscot,Maine,
Lincoln Haymarket Farmers Market,http://www.linconlhaymarket.org,https://www.facebook.com/farmersmarketlincoln,7th & P Street,Lincoln Nebraska,Lancaster,Nebraska,68508
Lincoln Hills Sun City Farmers Market,http://www.Salleorchards.com,salle orchards,965 Orchard Creek Lodge,Lincoln,Placer,California,
Lincoln Hospital Greenmarket,http://www.grownyc.org,https://www.facebook.com/bronxgreenmarkets,149 St & Morris,Bronx,Bronx,New York,10451
Lincoln Park (Chicago) Farmers Market,http://www.cityofchicago.org/specialevents,,2000 N-700 W lincoln Park High School Parking lot,Chicago,Cook,Illinois,60602
Lincoln Park Farmers Market,,https://www.facebook.com/pages/Lincoln-Park-Farmers-Market/208206362528258,"Painter's Supply Parking Lot, Fort Street & Southfield Road Corner, between I-75 and Fort Street",Lincoln Park,Wayne,Michigan,48146
Lincoln Piedmont Farmers Market,,,Piedmont Shopping Center,Lincoln,Lincoln,Nebraska,68510
Lincoln Road Farmers Market,http://www.themarketcompany.orgwww.themarketcompany.org,,Lincoln Road (between Washington and Meridian),Miami,Miami-Dade,Florida,33139
Lincoln Square Chicago Farmers Market,http://www.cityofchicago.org/specialevents,,City parking lot adjacent to Brown Line station,Chicago,Cook,Illinois,60602
Lincoln University Farmers Market,,https://www.facebook.com/pages/Lincoln-University-Community-Garden-and-Market,1219  Chestnut Street,Jefferson City,Cole,Missouri,65101
Lincolnview Farms,,,,Van Wert,Van Wert County,Ohio,
Lincolnville Farmers' Market,http://www.lincolnvillefarmersmarket.com,,399 S. Riberia St.,Saint Augustine,St. Johns,Florida,32084
Lincolnville Farmers' Market,http://www.lincolnvillefarmersmkt.org/,,2531 U.S. Route 1,Lincolnville,Waldo,Maine,4849
Linda Vista Farmers Market,http://www.sdfarmbureau.org,https://www.facebook.com/LindaVistaFarmersMarket,6939 Linda Vista Road,San Diego,San Diego,California,92111
Linden Farmers Market,http://www.slpr.net,,N. Main Street,Linden,Genesee,Michigan,48451
Lindon Farmers Market,,,60 N. State Street,Lindon,Utah,Utah,84042
Lindstrom Farmers Market II,http://www.lindstrom.mn.org,,Hwy. 8 @ St. Bridget's Catholic Church,Lindstrom,Chisago,Minnesota,55045
LINN PLACE MARKET,,,20TH STREET and PARK PLACE,BIRMINGHAM,Jefferson,Alabama,35203
Linn Street Farmers Market,,,203 E. Linn Street,Marshalltown,Marshall,Iowa,50158
Linton Farmers' Market,http://lintonfarmersmarket.com,facebook.com/pages/Linton-Farmers-Market/165773460258379,Highway 54,Linton,Greene,Indiana,
Lion's Park and Midland Spur Rd.,http://www.basaltsundaymarket.com,,,Basalt,Eagle,Colorado,
Lipoa Street Farmer's Market ,,https://www.facebook.com/LipoaMarket,95 Lipoa Street,Kihei ,Maui,Hawaii,96753
Lisbon Farmers Market,http://www.lisbonnd.com,,800 Main Street,Lisbon,Ransom,North Dakota,58054
Lisbon Farmers Market,http://www.lisbonmainstreet.org,,North Main Street,Lisbon,Grafton,New Hampshire,3585
Lisbon Farmers Market,,,Main Street,Lisbon,,Iowa,52253
Lisle French Market,,,Downtown Lisle-Burlington,Lisle,DuPage,Illinois,60532
Litchfield Hills Farm-Fresh Market,http://www.lhfs-ct.org,https://www.facebook.com/LHFoodSystems,125 West Street,Litchfield,Litchfield,Connecticut,6759
Litchfield Hills Farm-Fresh Market,http://www.lhfs-ct.org,https://www.facebook.com/LHFoodSystems,421 Bantam Road,Litchfield,Litchfield,Connecticut,6759
Lititz Farmers Market,http://www.lititzfarmersmarket.com,https://www.facebook.com/lititzfarmermarket,45 North Water Street.,Lititz,Lancaster,Pennsylvania,17543
Little Elm Farmers' Market,http://www.littleelm.org/FM,https://www.facebook.com/LittleElmFarmersMarket,Eldorado and FM 423,Little Elm,Denton,Texas,75068
Little Falls ABC Farmers Market & More,,,Union Ave. & Main St.,Little Falls,Passaic,New Jersey,
Little Falls Farmers & Flea Market,,,"MBT Bank lot, Albany St.",Little Falls,Herkimer,New York,
Little Falls Farmers Market,,,Northwest 1st Street,Little Falls,Morrison,Minnesota,56345
Little Falls Original Farmers Market ,http://www.littlefallsfarmersmarket.com/,https://www.facebook.com/LFFarmersMarket,2nd St. Se and Hwy 27,Little Falls,,Minnesota,
Little Horn  State Bank Farmers Market,http://www.littlehornstatebank.com,,835 North Center Ave,Hardin,Big Horn,Montana,59034
Little Miss Sweet Peas Farmers Market,,,431 E. Geneva St.,Elkhorn,Walworth,Wisconsin,
Little Rock River Market,,,River Market,Little Rock,Pulaski,Arkansas,72201
Littlebird's Marketplace,,,Lawn at corner of School Lane and Pine Drive,Seeley Lake,Missoula,Montana,59868
Littleton Farmers Market,,,Litttle Senior Center off Cottage Street.,Littleton,Grafton,New Hampshire,3561
Live Oak Farmers Market,http://www.santacruzfarmersmarket.org,https://www.facebook.com/santacruzfarmersmarket,15th East Cliff Dr.,Live Oak,Santa Cruz,California,95062
Livermore Certified Farmers Market ,http://www.pcfma.com/market_home.php?market_id=6,https://www.facebook.com/LivermoreFarmersMarket,Carnegie Park at 3rd and J St. ,Livermore,,California,94551
Livermore Farmers' Market,http://www.pcfma.com/livermore,,2152 Second Street,Livermore,Alameda,California,94550
Livermore Farmers' Market,http://www.pcfma.com/livermore,,Railroad Ave. & L Street,Livermore,Alameda,California,94550
Livingston Farmers Market,,,Northeast corner Livingston Ave and Mt. Pleasant Ave,Livingston,Essex,New Jersey,7039
Livingston Farmers Market,,,115 Franklin Street,Livingston,Sumter,Alabama,35470
Livingston Farmers Market,,,,Denham Springs,Livingston,Louisiana,
Livingston Farmers Market,,https://www.facebook.com/LivingstonFarmersMarket,Corner of Hwy 463 & Hwy 22,Madison,Madison,Mississippi,39110
Livingston Farmers Market Co-op,,,111 U.S. Highway 59 North Loop,Livingston,Polk,Texas,77351
Livingston-Overton County Farmers Market,,,University & Spring Streetverton,Livingston,Overton,Tennessee,38570
Livonia Farmers Market ,http://www.wilsonbarn.us/wilsonbarn.us/Welcome.html,https://www.facebook.com/pages/Wilson-Barn/106099052755748,29350 W. Chicago,Livonia,Wayne,Michigan,48150
Lloyd Farmers Market,http://www.lloydfarmersmkt.net/,,800 NE Holladay St,Portland,Multnomah,Oregon,97232
LMU Farmers Market,,,,Los Angeles,Los Angeles,California,
Loachapoka Farmers Market,http://www.loachapokaalabama.com,townofloachapoka,6454 Stage Road,Loachapoka,Lee,Alabama,36865
"Local Bounty Coshocton, LLC ",http://www.localharvest.org/local-bounty-coshocton-llc-M59440,https://www.facebook.com/pages/Local-Bounty-Coshocton-LLC/214163635342533,22951 S.R. 83 North,Coshocton,,Ohio,43812
Local Farmers Market,,,110 1st St E,Park Rapids ,Hubbard,Minnesota,56470
Local Farmers Market at the Shoppes at the Flight Deck in Lexington,,,109 Old Chapin Rd.,Lexington,Lexington,South Carolina,29072
Local Harvest Farmers Mkt at the Longmeadow Shops,,https://www.facebook.com/TazewellFarmersMarket,666 Bliss St,Longmeadow,Hampden,Massachusetts,
Local Kerrville Farmers Market ,,https://www.facebook.com/pages/The-Local-Kerrville-Farmers-Market/180694945307394,945 Barnett St. ,Kerrville,,Texas,78028
Local Roots Market & Cafe,http://www.LocalRootsWooster.com,,140 S Walnut,Wooster,Wayne,Ohio,44691
Local Works Bethlehem Farmers' Market,http://www.wrencommunity.org/localworks,,Main Street,Bethlehem,,New Hampshire,
Locavore Farmers' Market ,http://www.localharvest.org/locavore-farmers-market-M43502,https://www.facebook.com/pages/Locavore-Farmers-Market/161905513835989,11330 Louetta Rd. (United Methodist Church Parkign Lot) ,Houston,,Texas,77070
Lockhart Main Street Farmers' Market ,http://www.mainandmarket.wordpress.com/,https://www.facebook.com/MainStreetMarketLockhart,217 South Main Street,Lockhart,,Texas,78644
Lockport Farmers Market,http://www.elockport.com,,Pine Street and Walnut St,Lockport,Niagara,New York,14094
Lockport Farmers Market,,,222E. 9th St.,Lockport,Will,Illinois,60441
Locust Street Farmers' Market and Flea Market,,,853 Locust Street South and Portage Street,Canal Fulton,Stark,Ohio,44614
Locust Valley Farmers Market,,,"Forest Ave, across from Post Office",Locust Valley,Nassau,New York,
Lodi Farmers Market,,,"School St., Between Oak & Locust",Lodi,San Joaquin,California,95420
Lodi Heritage Farmers Market,,,509 East Eden,Lodi,San Joaquin,California,95420
Lodi Valley Farmers' Market,,https://www.facebook.com/LodiValleyFarmersMarket,902 W Main St. (Hwy 113),Lodi,Columbia,Wisconsin,53555
Logan County Farmers Market,http://www.logancountyfarmersmarket.com,https://www.facebook.com/pages/Logan-County-Farmers-Market/117396318274013,Corner of Chillicothe and Detroit Street,Bellefontaine,Logan,Ohio,43311
Logan County Farmers Market,http://www.ces.ca.uky.edu/logan/,,255 John Paul Rd.,Russellville,Logan,Kentucky,42276
Logan Square Farmers Market,http://www.logansquarefarmersmarket.org,www.facebook.com/LoganSquareFarmersMarket,3100 W. Logan Boulevard,Chicago ,Cook,Illinois,60647
Logansport Farmers Market,,,4th and Market Street,Logansport,Cass,Indiana,46947
Lompoc Farmers Market,,,Ocean St. & I St.,Nipomo,Santa Barbara,California,93444
London Farmers Market,,,East 2nd Street,London,Madison,Ohio,43140
london-Laurel County Farmers Market,,https://www.facebook.com/pages/London-Laurel-County-Farmers-Market/105850682843290,Main and Dixie Streets,London,Laurel,Kentucky,40741
Lone Star Farmers Market,http://www.lonestarfarmersmarket.com/,www.facebook.com/LoneStarFarmersMarket,12611 Suite 100 Shops Parkway,Bee Cave,Travis,Texas,78738
Lonetree Farmers Market,http://www.laughingdogfarms.net/tricounty.asp,,Yosemite & Maximus,Lone Tree,,Colorado,
Long Beach Downtown Farmers Market,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,212 West Third Street,Long Beach ,Los Angeles,California,90802
Long Beach Farmers Market,http://www.longbeachfarmersmarket.org,https://www.facebook.com/longbeachfarmersmarket,125 Jeff Davis Avenue,Long Beach ,Harrison,Mississippi,39560
Long Beach Southeast CFM,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,6530 Marina Drive,Long Beach,Los Angeles,California,90803
Long Beach Uptown Farmers Market,http://www.goodveg.org,https://www.facebook.com/harborareafarmersmarkets,4600 Atlantic Avenue,Long Beach,Los Angeles,California,90807
Long Island City Green Market,http://www.cenyc.org,,48th Ave between Vernon Blvd & 5th St,New York City,Queens,New York,
Long Neck Farmers Market,,,School Lane,Millsboro,,Delaware,19966
Long Pine Farmers Market,,,Long Pine,Long Pine,Brown,Nebraska,69217
Long Valley Green Market ,http://www.longvalleygreenmarket.com/,,20 Schooley's Mountain Rd. ,Long Valley,,New Jersey,7853
Long Wharf Farmers Market,,,Washington St.,Newport,NEWPORT,Rhode Island,
Longleaf Farmers Market,http://www.longleafmarket.com,,3104 Town Avenue,New Port Richey,Pasco,Florida,34639
Loockerman Way Farmers' Market,http://downtowndoverpartnership.com,,Loockerman Way Plaza - Loockerman Street,Dover,Kent,Delaware,19904
Lookingglass Grange Farmers Market,,www.facebook.com/pages/Lookingglass-Grange-Farm-Market/165152183533569,7426 Lookingglass Road,Roseburg,Douglas,Oregon,97470
Lorton Farmers Market,https://www.fairfaxcounty.gov/parks/farmersmarkets,,8990 Lorton Station Blvd.,Lorton,Fairfax,Virginia,22079
Los Alamos Farmers' Market,http://www.lamainstreet.com/farmers-market.htm,,20th & Central,Los Alamos,Los Alamos,New Mexico,
Los Altos Certified Farmers Market,http://www.cafarmersmkts.com/markets/category/los-altos-farmers-market,https://www.Facebook.com/LosAltosFarmersMkt,State Street and Second Street,Los Altos,Santa Clara,California,94022
Los Angeles Medical Center CFM,http://www.seela.org/la-medical-center-farmers-market/,https://www.facebook.com/FarmersMarketLAMC,4800 Hollywood Blvd,Hollywood,Los Angeles,California,90027
Los Banos Certified Farmers Market,,,Hwy 152 & Pacheco Park,Los Banos,Merced,California,93635
Los Banos Farmers Market,,,7th St. & J St.,Le Grand,Merced,California,95333
Los Gatos Farmers Market,http://www.los-gatos.ca.us/los_gatos/businesses/,,Montabello Way & Broadway,Los Gatos,Santa Clara,California,95030
Los Lunas Farmers' Market,http://farmersmarketsnm.org/Shoppers/FindMarket/find.php,https://www.facebook.com/farmersmarketsofvalenciacounty,3447 Lambros Circle,Los Lunas,Valencia,New Mexico,
Los Ranchos Growers Market,http://www.losranchosgrowersmarket.com,https://www.facebook.com/LosRanchosNM,"City Hall, 6718 Rio Grande Blvd. NW",Los Ranchos,Bernalillo,New Mexico,87107
Loud House Farm,http://loudhousefarm.com ,,4300 East 113th Street,Kansas City,Jackson,Missouri,64137
Louisa County Farmers Market,,,Glen Marye Shopping Center Parking Lot,Louisa,Louisa,Virginia,23093
Louisiana Farmers' Market,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=607,,Georgia Street,Louisiana,Pike,Missouri,63353
Louisville Farmers Market,http://www.thelouisvillefarmersmarket.com/,https://www.facebook.com/louisvillefarmersmarket,153 South English Station Rd,Louisville,Jefferson,Kentucky,40245
Louisville Farmers Market,http://www.farmersmarketlouis.com,,824 Front Street,Louisville,Boulder,Colorado,80027
Lourdes Health System,http://www.lourdesnet.org,,1601 Haddon Avenue,Camden,Camden,New Jersey,8103
Lourdes Health System,http://www.lourdesnet.org,,218 Sunset Road,Willingboro,Burlington,New Jersey,8046
Love Your Neighbor's Friday at the Market ,http://www.localharvest.org/love-your-neighbors-friday-at-the-market-M35764,,20 N Main Street,Brooksville,,Florida,34601
Loveland Farmers Market,http://www.fortcollinsfm.com,https://www.facebook.com/pages/CAMC-Farmers-Market/434286586584679,3133 North Garfield Avenue,Loveland,Larimer,Colorado,80538
Loveland Farmers' Market,http://www.lovelandfm.com,https://www.facebook.com/LovelandFarmersMarket,120 Karl Brown Way,Loveland,Clermont,Ohio,45140
Lovell Farmers Market,,,just out of village by the wicked good store,Lovell/ Rt5,Oxford,Maine,4051
Lovell Farmers Market,http://www.lovellinc.org/farmersmarket.html,,262 E Main St,Lovell,Big Horn,Wyoming,82431
Lovingston Farm Market,,,2327 Laurel Road,SHIPMAN,,Virginia,22971
Lowell Area Farmers' Market,http://www.discoverlowell.org,https://www.facebook.com/pages/Lowell-Area-Chamber-of-Commerce/84172814896?ref=hl,2111 West Main St,Lowell,Kent,Michigan,49331
Lowell Farmers' Market,http://www.lowellnc.com/LowellFarmersMarket.htm,,200 E. Second Street,Lowell,Gaston,North Carolina,28098
Lowell Farmers' Market- Downtown,http://www.comteam.org,https://www.facebook.com/lowell.farmersmarket,"City Hall, JFK Plaza 50 Arcand Drive","Lowell, Ma",Middlesex,Massachusetts,1852
Lowell Farmers' Market-Highlands Satellite ,http://www.comteam.org,https://www.facebook.com/lowell.farmersmarket,114 Pine Street,Lowell,Middlesex,Massachusetts,1851
Lower East Side Girls Club FM,http://www.girlsclub.org,,"La Plaza Garden, 9th St. & Avenue C",New York,Chenango,New York,
Lower East Side YM,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,Grand Avenue btwn Pitt St and Abraham Pl,New York ,New York,New York,10002
Lower East Side Youthmarket,http://www.grownyc.org,,Grand St. and Abraham Pl.,New York,New York,New York,10007
Lower Makefield Farmers Market,http://www.buckscountyfoodshedalliance.org,,Edgewood Rd. and Heacock Rd.,Lower Makefield,Bucks,Pennsylvania,19067
Lower Township Farmers Market,,,2600 Bayshore Rd.,Lower Twp.,Cape May,New Jersey,
Lower Valley Farmers Market,http://www.lowervalleyfarmersmarket.webs.com,,203 1 street,Wallowa,Wallowa,Oregon,97885
Lower Yakima Valley Sunnyside Farmers Market,,,Edison Ave & Fifth Street,Sunnyside ,Yakima,Washington,98944
Lowery Hanger 2 Farmers Market,"http://www.hangar2lowry.com/index.cfm?PID=1452&ID=6994,27176,0",,,Lowery,,Colorado,
Lowndes County Farmers Market,,,Highway 21 South,Hayneville,Lowndes,Alabama,36040
Lowry Farmers' Market,http://www.hangar2lowry.com,https://www.facebook.com/LowryFarmersMarket,7581 East Academy Blvd.,Denver,Denver,Colorado,80230
Lowville Farmers Market,,https://www.facebook.com/LowvilleFarmersMarket,5473 Bostwick Street,Lowville,Lewis,New York,13367
Loyal Farmers Market,,,139 N Main St.,Loyal,Clark,Wisconsin,54446
Loyola University Chicago Farmers' Market,http://www.luc.edu/farmersmarket,,6590 North Sheridan Rd,Chicago,Cook,Illinois,60626
Luau Farmers Market,,,333 International Road,Honolulu,Honolulu,Hawaii,96801
Lubbock Downtown Farmers Market ,http://www.localharvest.org/lubbock-downtown-farmers-market-M59589,,19th St and Buddy Holly,Lubbock,,Texas,79401
Lucas Farmers Market,,,"Lucas Memorial Park, Junction Highways 65 & 34",Lucas,Lucas,Iowa,50151
Ludington Farmer's Market,http://www.ludington-mi.gov,,North James Street Plaza,Ludington,Mason,Michigan,49431
Ludlow Farmers Market Inc.,http://www.ludlowfarmersmarket.org,https://www.facebook.com/pages/Ludlow-Farmers-Market-Vermont/379174938785387,53 Main Street,Ludlow,Windsor,Vermont,5149
Lumberland Community Market ,http://www.localharvest.org/lumberland-community-market-M59709,https://www.facebook.com/LumberlandCommunityMarket,Lumberland Town Hall 1054 Proctor Rd. ,Glen Spey,,New York,12737
Lunenburg,,,960 Massachusetts Avenue,Lunenburg,Worcester,Massachusetts,1462
Lunenburg Farmers' Market,http://www.lunenburgfarmersmarket.org,https://www.facebook.com/LunenburgFarmersMarket,"Lunenburg Town Common, Route 2",Lunenburg,Essex,Vermont,5906
Luray/Page County Farmers Market,,,Luray-Norfolk Western Train Depot,Luray,Page,Virginia,22835
Lusk Farmers Market,http://www.lovellinc.org/farmersmarket.html,,327 S Main Street,Lusk,Niobrara,Wyoming,82225
Lutheran Church of the Resurrection-Seeds of Hope,,,3707 Moss Ave.,Columbia,Richland,South Carolina,29205
Lutheran Market,,,150 55th Street,BROOKLYN,New York,New York,11220
Luvene Farmers Market ,http://www.localharvest.org/luvene-farmers-market-M58550,,"Redbird Rd., East Main Street",Luverne,,Minnesota,56156
Lyme Farmers Market,http://www.farmcoffee.com,,78 Bill Hill Rd,Lyme,New London,Connecticut,6371
Lynchburg Community Market,http://www.lynchburgva.gov or www.lynchburgcommunitymarket.com,https://www.facebook.com/LynchburgCommunityMarket,1219 Main Street,Lynchburg,Lynchburg,Virginia,24504
Lynchfield Farmers Market,,,Rte 119 N.,Greensburg,Westmoreland,Pennsylvania,15601
Lynden Farmers Market,http://www.lyndenfarmersmarket.com,https://www.facebook.com/pages/Lynden-Farmers-Market/160191960710268,324 Front Street,Lynden,Whatcom,Washington,98264
Lyndon Farmers Market,http://www.lyndonfarmersmarket.com,,Bandstand Park on Rte 5,Lyndonville,Caledonia,Vermont,5842
Lyndon Farmers' Market,http://www.westportroadchristianchurch.org/farmers,https://www.facebook.com/pages/Lyndon-Farmers-Market/284270839544,7515 Westport Road,Louisville,Jefferson,Kentucky,40222
Lyndonville Farmers' Market,http://www.lyndonfarmersmarket.com,,"Main Street, US Rt. 5",Lyndonville,Caledonia,Vermont,5851
Lynn Haven Farmers Market,http://www.lynnhavenmainstreet.com,,903 Ohio Ave.,Lynn Haven,Bay,Florida,32444
"Lynn, Central Square",http://www.thefoodproject.org/farmers-markets,,Corner of Union & Exchange Streets,Lynn,Essex,Massachusetts,1901
Lynwood Farmers Market,http://www.farmernet.com,,Martin Luther King & Cesar Chavez Lane,Compton,Los Angeles,California,90221
Lyon Farmers Market,,,Commercial St.,Lyons,,Kansas,67554
Lyons Falls Farmers' Market,,,"6904 Laura Street, Riverside Park",Lyons Falls,Lewis,New York,13368
Lyons Farmers Market,,,"Wayne County Court House, 26 Church St",Lyons Falls,Wayne,New York,
Lyons Farmers Market,,,4 Square Park,Clinton,Clinton,Iowa,52732
Mableton Farmers Market,http://www.mableton.org/FarmersMarket.html,,5239 Floyd Road,Mableton,Cobb,Georgia,30126
Macedon Farmers Market,,,32 Main St.,Macedon,Wayne,New York,14502
Macedonia Farmer's Market ,http://www.macrec.com/,,1494 E Aurora Rd,Macedonia,,Ohio,44056
Mackay Community Farmers Market,,,Pine and Elm,Mackay,Custer,Idaho,83251
Macomb Farmers Market,http://www.macombfarmersmarket.com,https://www.facebook.com/MacombFarmersMarket,Court House Square,Macomb,McDonough,Illinois,61455
Macon County Farmers Market,,,Intersection of Elm & Spring Streets,Tuskegee,Macon,Alabama,36083
Macon County Farmers Market,http://www.maconcountytn.com/farmers.market.htm,,Key Park on Church Street,Lafayette,Macon,Tennessee,37083
Macon State Farmers Market,,,2055 Eisenhower Parkway,Macon,Bibb,Georgia,31206
Macungie Farmers Market,http://www.macungiefarmersmarket.com,https://www.facebook.com/macungiefarmersmarket,100 N. Walnut Street,Macungie,Lehigh,Pennsylvania,18062
Mad Cap Hill Farmers Market,http://www.ballardsundaymarket.com,,20th Ave.,Seattle,King,Washington,98127
Mad Planter Open Air Market,,,1864 Chocorua Mt Highway (Route 16),Silver Lake,,New Hampshire,
Made in Bent Market,,,Bent County Fair Grounds- West Hwy 50,Las Animas,Bent,Colorado,81054
Madeira Farmers Market,http://www.madeirafarmersmarket.com,https://www.facebook.com/pages/Madeira-Farmers-Market/105361842828306,Dawson Rd and Miami Ave,Madeira,Hamilton,Ohio,45243
Madeira Farmers Market,http://www.madeirafarmersmarket.com,,8000 Miami Ave,Madeira,Hamilton,Ohio,45243
Madelia Community Hospital's Farmers Market,http://www.mchospital.org,,Drew Ave,Madelia,Watonwan,Minnesota,56062
Madera County Farmers' Market,,https://www.facebook.com/chelseafarmersmarket,210 W. Yosemite,Madera,Madera,California,93637
Madison City Farmers Market,http://www.madisoncityfarmersmarket.com,https://www.facebook.com/madisoncityfarmersmarket,1088 Hughes Road,Madison,Madison,Alabama,35758
Madison County Farmers & Artisans Market,http://www.marshillmarket.org,https://www.facebook.com/marshilltailgatemarket,Hwy 213,Mars Hill,Madison,North Carolina,28754
Madison County Farmers Market,,https://www.facebook.com/madisoncofarmersmarket,112 N. John Wayne Dr.,Winterset,Madison,Iowa,50273
Madison County Farmers Market,http://www.madisoncountyal.gov/about/org/CoDepts/FarmersMkt.shtml,,1022 Cook Avenue,Huntsville,Madison,Alabama,35804
Madison County Farmers' Market,http://www.themadisonfarmersmarket.com,,1110 Fairgrounds Road (Hoover Ridge Park),Madison,Madison,Virginia,22727
Madison County Farmers' Market,,,North Main Street,Fredericktown,Madison,Missouri,63645
Madison County Farmers' Market,,,"Town Square, Main Street",Huntsville,Madison,Arkansas,72740
Madison Farm to Fork Farmers Market,http://www.madisonfarmtofork.com,,118 Williams Street,Ennis,Madison,Montana,59729
Madison Farmers Market,http://www.madisonindianafarmersmarket.com,,Main & Broadway Streets,Broadway Fountain,Jefferson,Indiana,47250
MADISON FARMERS’ MARKET,http://www.madisonctfarmersmarket.com,,Madison Historic Town Green,Madison,New Haven,Connecticut,
Madison Garden Center,,,9640 West Broad St.,West Jefferson,Madison,Ohio,43162
Madison NJ Farmers Market,http://www.rosenet.org/gov/ddc,https://www.facebook.com/ilovemadisonnj,Green Village Road and Main Street,Madison,Morris,New Jersey,7940
Madison Street Park,http://www.cityofmarianna.com,https://www.facebook.com/pages/Marianna-City-Farmers-Market/131030680305017,2884 Madison Street,Marianna,Jackson,Florida,32446
Madras Saturday Market,,,7th St between B & C,Madras,Jefferson,Oregon,97741
Madrona Farmers Market,http://www.madronafarmersmarket.wordpress.com,https://www.facebook.com/MadronaFarmersMarket,1126 Martin Luther King Jr. Way,Seattle,King,Washington,98122
Maggie Valley Farmers Tailgate Market,,,2701 Soco Road,Maggie Valley,Haywood,North Carolina,28751
Magnolia Farmers Market,,,Downtown Along The Railroad,Magnolia,Pike,Mississippi,39652
Magnolia Farmers Market,http://www.seattlefarmersmarkets.org,,W McGraw Str and 33rd Ave W,Seattle,King,Washington,98199
Mahaney Park,,,1545 Pleasant Grove Blvd,Roseville,Placer,California,
Mahiku Farmers Market ,http://www.mahikufarmersmarket.com/,https://www.facebook.com/mahiku.farmersmarket,41-1009 Mahiku Pl,Waimanalo,,Hawaii,96795
Mahoney's Garden Center,,,165 Princeton Street,Chelmsford,Middlesex,Massachusetts,1863
Mahoney's Garden Center,,,958 East Falmouth Hwy,East Falmouth,Barnstable,Massachusetts,2536
Mahtomedi Area Farmers' Market,http://www.mahtomedicb.com,,93 Mahtomedi Avenue,Mahtomedi,Washington,Minnesota,55115
Maidstone Farmer's Market,,,11833 Aspengraf Lane,New Kent,,Virginia,23124
Main Plaza Farmers' Market,http://www.safoodbank.org/index.php/programs/nutrition/farmers-market,www.facebook.com/pages/Main-Plaza-Farmers-Market/100347100038767,115 Main Ave,San Antonio,Bexar,Texas,78205
Main Street Beatrice Farmers Market,,,111 S 8th St  ,Beatrice,Gage,Nebraska,68310
Main Street Calumet Market,http://www.mainstreetcalumet.org,,200 Fifth Street,Calumet,Houghton,Michigan,49913
Main Street Calumet Market,http://www.mainstreetcalumet.org,,Agassiz Park,Calumet,Houghton,Michigan,49913
Main Street Canoga Park Farmers' Market,http://www.farmernet.com,,Owensmouth and Sherman Way,Canoga Park,Los Angeles,California,91303
Main Street Clinton's Fresh at Five Farmers Market,http://www.mainstreetclintonms.com,https://www.facebook.com/MainStreetClinton,Jefferson Street,Clinton,Hinds,Mississippi,39056
Main Street Delaware Farmers Market,http://www.mainstreet.com,,N. Sandusky Street,Delware,Delaware,Ohio,43015
Main Street Downtown Farmers Market,http://www.mainstreetfremont.org,,"John C. Fremont Park, corner of 8th & Main St.",Freemont,,Nebraska,68026
Main Street Dyersburg Farmers Market,http://www.dyerchamber.com,https://www.facebook.com/groups/119877659959/,335 Clark Avenue,Dyersburg,Dyer,Tennessee,38024
Main Street Elyria Farmers Market ,http://www.mainstreetelyria.com/events?view=1&id=81,,104 Middle Ave.,Elyria,,Ohio,44035
Main Street Farmer's Market,,https://www.facebook.com/NashuaFarmersMarket,53-75 Main St.,Nashua,Hillsborough,New Hampshire,3060
Main Street Farmers Market,http://www.mainstfarmersmarket.com,https://www.facebook.com/mainstfarmersmarket,325 East Main St,Chattanooga,Hamilton,Tennessee,37408
Main Street Farmers Market,,,Town Square,Ripley,Tippah,Mississippi,38663
Main Street Farmers Market,,,132 E Main St,Dwight,Livingston,Illinois,60420
Main Street Farmers Market,http://www.gaithersburgmd.gov/events,,301 Main Street,Gaithersburg,Montgomery,Maryland,20878
Main Street Farmers Market,http://www.msfm.org,,South Main at Wheeling,Washington,Washington,Pennsylvania,15301
Main Street Farmers Market,http://www.facebook.com/farmtrails,,385 Main Street,Placerville,El Dorado,California,95667
Main Street Farmers Market,,https://www.facebook.com/groups/111030125591050/,Main St. & Nezpique St.,Jennings,Jefferson Davis,Louisiana,70546
